149;BAR;BAR97;Bel Art
150;BAR;BAR98;Barcelona Catedral
151;BAR;BAR99;Aston
152;BAR;BARA1;Nouvel
153;BAR;BARA2;Lleo
154;BAR;BARA3;Santa Marta
155;BAR;BARA4;Avinyo
156;BAR;BARA5;Rialto
157;BAR;BARA6;H10 Universitat
158;BAR;BARA7;Del Mar
159;BAR;BARA8;Majestic
160;BAR;BARA9;H10 Raco del Pi
161;BAR;BARB1;NH Duc de la Victoria
162;BAR;BARB2;Colon
163;BAR;BARB3;Arago 565
164;BAR;BARB4;Ramblas
165;BAR;BARB5;NH Les Corts
166;BAR;BARB6;Confortel Barcelona
167;BAR;BARB7;AB Viladomat
168;BAR;BARB8;Residencia Erasmus Gracia
169;BAR;BARB9;Petit Palace Museum
170;BAR;BARC7;FC Barcelona-Real in 3*
171;BER;BER01;Quality City-East
172;BER;BER02;Bogota
173;BER;BER03;Agon Opera am Kurfürstendamm
174;BER;BER04;Comfort Weissensee
175;BER;BER05;Comfort Lichtenberg
176;BER;BER06;City Amaryl
177;BER;BER07;Park Inn Alexanderplatz
178;BER;BER08;Novotel Dorint am Tiergarten
179;BER;BER09;Best Western Berlin Mitte
180;BER;BER10;Berlin Mark
181;BER;BER11;Sorat Ambassador
182;BER;BER12;Panorama
183;BER;BER13;Melia Berlin
184;BER;BER14;Art'Otel Kudamm
185;BER;BER15;Lindenberger Hof
186;BER;BER16;Ramada Plaza
187;BER;BER17;Innside Premium
188;BER;BER18;Metropolitan Hansa
189;BER;BER19;Ellington
190;BER;BER20;Winter's Berlin
191;BER;BER21;Estrel
192;BER;BER22;Citadines
193;BER;BER23;Villa Kastania
194;BER;BER24;Domicil
195;BER;BER25;Holiday Inn Berlin City East
196;BER;BER26;Winter's Berlin
